Notes: copy table cells and use a markdown converter before pasting into the jobslink.md page.,,,
,,,
UK,,,
Name,Length (years),Eligibility,Location of work
[NERC Independent Research Fellowship](www.nerc.ac.uk/funding/available/fellowships/irf/ ),5,"Any nationality, < 8 yrs postdoc experience",UK institutions
[UKRI Future Leaders Fellowship](https://www.ukri.org/funding/funding-opportunities/future-leaders-fellowships/ ),4 to 7,Early career,UK
[Royal Society Dorothy Hodgekin fellowship](https://royalsociety.org/grants-schemes-awards/grants/dorothy-hodgkin-fellowship/ ),5, < 6 yrs from PhD,UK institutions
[Royal Society Newton International](https://royalsociety.org/grants-schemes-awards/grants/newton-international/ ),2,"Non-UK citizens, < 7 yrs postdoc experience",Outside UK
[Royal Society Newton Advanced Fellowship](https://royalsociety.org/grants-schemes-awards/grants/newton-advanced-fellowships/ ),2 or 3,"Non-UK researcher seeking UK collaboration, < 15 yrs postdoc experience",Outside UK
[EPSRC Fellowship](https://epsrc.ukri.org/skills/fellows/),3 (postdoc) 5 (early career/established),Any nationality and career stage,UK institutions
,,,
,,,
OTHERS:,,,
[NERC Standard Research Grant](https://nerc.ukri.org/funding/available/researchgrants/standard/ ),,,
,,,
,,,
EU,,,
Name,Length (years),Eligibility,Location of work
[Marie Curie Individual Fellowship](https://ec.europa.eu/research/mariecurieactions/actions/individual-fellowships_en ),1 or 2,"Any nationality, at least 4 yrs postdoc experience",EU or associated countries
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
